,Property_ID,Prop_Type,Tax_Key,Address,District_Num,Nbhd_Num,Style,Unit_Count,Fbath_Count,Hbath_Count,Lot_Size,Sale_Date,Sale_Price,Ext_Wall,Story_Count,Year_Built,Room_Count,Finished_Sqft,Bdrm_Count,Condo_Project
5725,229156,Residential,5050158000,2730 S HOWELL AV,14,4500,Duplex O/S,2,2,0,4200,2022-05-18,280000.0,Brick,1.5,1924.0,10.0,1836.0,4.0,
5726,229164,Residential,5050168000,2753 S ADAMS AV,14,4500,Dplx Bungalow,2,2,0,3570,2022-06-21,242000.0,Brick,1.5,1925.0,9.0,1854.0,3.0,
5727,229184,Residential,5050188000,2756 S HOWELL AV,14,4500,Res O/S A & 1/2,1,2,0,3500,2022-08-19,317900.0,Wood,1.5,1919.0,8.0,1315.0,3.0,
5728,229186,Residential,5050190000,2746 S HOWELL AV,14,4500,Res O/S A & 1/2,1,1,0,3500,2022-06-24,220000.0,Brick,1.0,1921.0,7.0,1822.0,4.0,
5729,229189,Residential,5050302000,727 E RUSSELL AV,14,4500,Res O/S 2sty +,1,1,1,3600,2022-06-30,325000.0,Aluminum/Vinyl,2.0,1925.0,6.0,1525.0,3.0,
5730,229198,Residential,5050311000,623 E RUSSELL AV,14,4500,Duplex O/S,2,3,0,3600,2022-06-07,268000.0,Aluminum/Vinyl,1.5,1914.0,9.0,1720.0,5.0,
5731,229209,Residential,5050322000,517 E RUSSELL AV,14,4500,Res O/S A & 1/2,1,1,1,3600,2022-01-05,210000.0,Aluminum/Vinyl,1.5,1905.0,8.0,1589.0,4.0,
5732,229236,Residential,5050501000,2829 S HOWELL AV,14,4910,Res O/S A & 1/2,1,2,1,3645,2022-02-18,319000.0,Stucco,1.0,1920.0,6.0,1460.0,4.0,
5733,229266,Residential,5050612000,328 E SCHILLER ST,14,4910,Res O/S A & 1/2,1,1,1,3750,2022-08-12,305000.0,Aluminum/Vinyl,1.0,1910.0,6.0,1122.0,2.0,
5735,229310,Residential,5050751000,2731 S GREELEY ST,14,4910,Milwaukee Bungalow,1,1,0,3600,2022-07-11,290000.0,Aluminum/Vinyl,1.5,1926.0,8.0,1586.0,5.0,
5736,229354,Residential,5050796000,2702 S BURRELL ST,14,4910,Res O/S A & 1/2,1,1,0,3330,2022-07-18,175000.0,Asphalt/Other,1.0,1913.0,6.0,1008.0,3.0,
5737,229391,Residential,5050834000,2822 S BURRELL ST,14,4910,Res O/S A & 1/2,1,2,1,3770,2022-01-31,245000.0,Aluminum/Vinyl,1.0,1915.0,12.0,1165.0,8.0,
5739,229408,Residential,5050853000,2808 S GREELEY ST,14,4910,Milwaukee Bungalow,1,1,0,3420,2022-03-04,244000.0,Aluminum/Vinyl,1.0,1925.0,12.0,1528.0,6.0,
5740,229416,Residential,5050862000,2825 S GREELEY ST,14,4910,Res O/S A & 1/2,1,2,0,3300,2022-03-09,199900.0,Asphalt/Other,1.5,1910.0,6.0,1235.0,3.0,
